TF	Number_of_ChIPexp	z_score_mean	K_Virus_0	K_Virus_3	K_Virus_6	K_Virus_9	K_Virus_12	K_Virus_18	K_Virus_24	K_Virus_30	K_Virus_36	K_Virus_48	K_Virus_60	K_Virus_72	K_Virus_D5	K_Virus_D7
GATA3	17	2.08400150099	3.40691149559	2.41462050882	5.96036173809	5.15048706031	-0.52895490138	4.13308796551	7.40798247007	3.57937212917	-1.39051600307	0.971494589972	2.60023484189	-6.46466437582	-0.68894749042	2.62455098511
NCOR1	6	2.88140087427	5.66628283246	0.372719334108	10.5436659678	5.48773691395	8.01224301971	-0.983743303213	11.702549964	-0.324214154136	-3.6129350696	2.06442811803	5.52848901926	-2.25019580671	-0.805166971923	-1.06224762398
CXXC1	1	-2.19309996329	3.43458239945	0.471487768962	11.1822336984	5.00284829541	7.6883834082	-5.62372132276	2.55442540033	-11.6439852041	-11.4962323287	-5.6879898904	-1.77610511979	-6.24700655869	-9.20353266523	-9.35878736731
HIRA	3	2.03872822737	-1.52626097494	2.14676608439	4.03829406245	4.38237083636	0.904978010101	-0.489184230343	4.62163458766	2.84001631782	-3.176296865	1.55878685536	5.25672899334	3.09819038562	0.925234268061	3.96093685224
SNAI1	1	-1.36736614946	0.121234731906	-0.125843137751	3.17255526261	1.99808086373	3.15597717639	-1.53202369831	2.39223117721	-3.20470550055	-7.28440885929	-3.53657869303	-2.18888255435	-1.87571714138	-4.56195128749	-5.67309443213
BRDT	2	1.35579468895	3.93025608972	2.73911242125	1.26675196671	-0.659596150141	1.19454419903	-0.510557178456	0.0314079886672	-0.568822193362	0.802036611744	2.20522028723	2.71092870654	3.31016327773	1.75069545939	0.778984159283
CHD2	2	0.196588544919	2.03933851011	0.0149940766525	11.2629477711	5.9438486965	7.84465398288	1.77688667057	8.17580977115	-3.21959289162	-10.4342359581	-4.12923519789	-0.872427237086	-6.53555231753	-6.49475470342	-2.62044154453
RAG2	3	0.992381539147	7.57138270303	-3.85194086972	13.2121556806	8.01724083012	13.1287852677	-0.0105180352415	10.7228429688	-3.80762926945	-11.3812584221	-1.21235793477	2.44450506776	-8.16368984575	-8.14438373855	-4.63179285446
CEBPA	28	2.53649683032	4.89794920167	1.64632217718	15.2701300324	8.686184527	11.9501817562	-0.949470313935	13.2182002346	-4.43475183954	-9.19749163668	0.550223830588	6.84355569085	-5.72295172154	-4.94905982156	-2.29806649278
NFAC1	2	-0.333016309303	2.0644735661	-1.47588016688	3.55854397886	0.99494895478	3.51476597344	-0.701456145535	3.34759305621	-2.39508792844	-5.44303770713	-1.75041862026	0.955242777985	-3.58152475983	-3.79469941908	0.0443081095357
IKZF3	1	0.0370574288737	2.83903850733	2.78820838049	7.57557191433	2.22120900518	1.03068332594	0.0181479989399	2.53091647963	-3.10378815251	-4.57084133079	-1.75692665793	-0.409244608196	-2.53413275067	-2.73050288534	-3.37953522219
TEAD4	2	-1.76723900362	0.611968009059	-2.02998498923	6.10415293045	7.04684866375	4.08332288059	-1.15170049187	5.13908985836	-3.79472793077	-9.87004736331	-7.40059325079	-1.54395320686	-5.05454739428	-9.53358003483	-7.34759373091
BAP1	1	-1.39132344856	2.38120827887	-0.829825106096	9.51699566716	6.74595505786	10.1790064461	-1.48047709908	7.11493199681	-7.71432455792	-12.6000465555	-6.05962622525	-1.61521885291	-8.42885525958	-9.39527939164	-7.29297267879
NKX21	3	-0.915061041449	1.06934422223	-0.34084320967	9.76810451243	6.92133626067	9.33580886873	-2.58060702259	3.3928337817	-7.27970626533	-8.03021980926	-4.51124196205	-1.12287879439	-3.41089561061	-7.45103003974	-8.57085951242
TF2L1	1	-1.98942699282	2.67726283864	2.22385510435	1.37348197645	6.40543715151	3.84258048388	-4.95106577314	2.70706048204	-4.90075004757	-7.57722797048	-6.29418804758	-4.06428891981	-5.72327693435	-6.88206678881	-6.68879145464
